"reservada","correlacion","cantidad","origen"
joven,joven,706,twitter
joven,plata,26,twitter
joven,encuentro,25,twitter
joven,cayó,25,twitter
joven,policía,21,twitter
joven,murga,20,twitter
joven,chorros,19,twitter
joven,delito,17,twitter
joven,lista,16,twitter
joven,inju,16,twitter
joven,muerte,15,twitter
joven,vida,15,twitter
joven,punta,14,twitter
joven,familia,14,twitter
joven,búsqueda,14,twitter
joven,equipo,14,twitter
joven,murió,14,twitter
joven,nacional,13,twitter
joven,delincuente,13,twitter
joven,disparo,13,twitter
joven,muerto,13,twitter
joven,buscan,13,twitter
joven,movida,13,twitter
joven,asesinado,12,twitter
joven,subrayado,11,twitter
joven,jorgewlarranaga,11,twitter
joven,arte,11,twitter
joven,gobierno,11,twitter
joven,nenetacua,10,twitter
joven,mujer,10,twitter
joven,joven,"3,892",post_facebook
joven,vida,355,post_facebook
joven,jóvenes,296,post_facebook
joven,video,275,post_facebook
joven,nacional,260,post_facebook
joven,personas,224,post_facebook
joven,historia,218,post_facebook
joven,familia,192,post_facebook
joven,policía,182,post_facebook
joven,mujer,170,post_facebook
joven,programa,169,post_facebook
joven,tarjeta,165,post_facebook
joven,inju,154,post_facebook
joven,p,154,post_facebook
joven,forma,148,post_facebook
joven,luis,148,post_facebook
joven,semana,147,post_facebook
joven,frente,146,post_facebook
joven,espectador,146,post_facebook
joven,viernes,145,post_facebook
joven,ciudad,144,post_facebook
joven,equipo,141,post_facebook
joven,gobierno,132,post_facebook
joven,madre,132,post_facebook
joven,medio,131,post_facebook
joven,padre,131,post_facebook
joven,gl,130,post_facebook
joven,muerte,130,post_facebook
joven,info,130,post_facebook
joven,goo,128,post_facebook
joven,joven,"16,496",facebook_comentarios
joven,vida,"1,629",facebook_comentarios
joven,familia,"1,103",facebook_comentarios
joven,gobierno,790,facebook_comentarios
joven,mal,737,facebook_comentarios
joven,persona,714,facebook_comentarios
joven,personas,622,facebook_comentarios
joven,padre,613,facebook_comentarios
joven,frente,606,facebook_comentarios
joven,nacional,578,facebook_comentarios
joven,viejo,547,facebook_comentarios
joven,justicia,534,facebook_comentarios
joven,peñarol,516,facebook_comentarios
joven,pueblo,500,facebook_comentarios
joven,lacalle,496,facebook_comentarios
joven,pena,496,facebook_comentarios
joven,futuro,495,facebook_comentarios
joven,viejos,494,facebook_comentarios
joven,pobre,492,facebook_comentarios
joven,mujer,490,facebook_comentarios
joven,luis,488,facebook_comentarios
joven,paso,471,facebook_comentarios
joven,delito,469,facebook_comentarios
joven,madre,465,facebook_comentarios
joven,dinero,464,facebook_comentarios
joven,muerte,459,facebook_comentarios
joven,triste,454,facebook_comentarios
joven,jóvenes,443,facebook_comentarios
joven,suerte,400,facebook_comentarios
joven,plata,399,facebook_comentarios
jóvenes,jóvenes,"1,163",twitter
jóvenes,utu,54,twitter
jóvenes,puentecelsa,51,twitter
jóvenes,inju,43,twitter
jóvenes,anep,43,twitter
jóvenes,programa,34,twitter
jóvenes,liceo,34,twitter
jóvenes,educación,34,twitter
jóvenes,emprendedores,32,twitter
jóvenes,red,32,twitter
jóvenes,nacional,31,twitter
jóvenes,pnacional,29,twitter
jóvenes,encuentro,29,twitter
jóvenes,juventudalianza,29,twitter
jóvenes,concurso,28,twitter
jóvenes,jorgewlarranaga,28,twitter
jóvenes,futuro,27,twitter
jóvenes,plan,27,twitter
jóvenes,lanzamiento,26,twitter
jóvenes,comisión,21,twitter
jóvenes,elsantisoto,19,twitter
jóvenes,colorado,19,twitter
jóvenes,ceibal,19,twitter
jóvenes,jovenes,19,twitter
jóvenes,scpresidenciauy,18,twitter
jóvenes,proyectos,18,twitter
jóvenes,gobierno,18,twitter
jóvenes,juventud,18,twitter
jóvenes,legisladores,17,twitter
jóvenes,jóvenes,"4,307",post_facebook
jóvenes,nacional,545,post_facebook
jóvenes,programa,419,post_facebook
jóvenes,vida,374,post_facebook
jóvenes,personas,345,post_facebook
jóvenes,juventud,325,post_facebook
jóvenes,educación,313,post_facebook
jóvenes,frente,308,post_facebook
jóvenes,joven,296,post_facebook
jóvenes,gobierno,292,post_facebook
jóvenes,inju,272,post_facebook
jóvenes,gl,270,post_facebook
jóvenes,goo,269,post_facebook
jóvenes,información,267,post_facebook
jóvenes,social,261,post_facebook
jóvenes,grupo,259,post_facebook
jóvenes,sociedad,226,post_facebook
jóvenes,política,223,post_facebook
jóvenes,desarrollo,221,post_facebook
jóvenes,proyecto,221,post_facebook
jóvenes,centro,218,post_facebook
jóvenes,info,218,post_facebook
jóvenes,sábado,209,post_facebook
jóvenes,forma,205,post_facebook
jóvenes,encuentro,203,post_facebook
jóvenes,participar,196,post_facebook
jóvenes,amplio,192,post_facebook
jóvenes,estudiantes,191,post_facebook
jóvenes,actividades,191,post_facebook
jóvenes,octubre,190,post_facebook
jóvenes,jóvenes,"11,055",facebook_comentarios
jóvenes,vida,"1,116",facebook_comentarios
jóvenes,personas,871,facebook_comentarios
jóvenes,educación,866,facebook_comentarios
