Variable;Cantidad
AAPELPAZ ;178
AARCH_SGJ;8
AARCHADOL;39
AARCHADUA;1
AARCHPAZ ;180
AARCHPEN ;57
ADOLCSENT;4
ADOLSSENT;4
ADUCON   ;8
AI       ;114
AI_SGJM  ;8
AIADOL2  ;35
AIADOLPAZ;48
AIAINCONS;1
AICASA_to;1
AICASACIV;1
AICASAFAM;1
AICASALAB;1
AICASAPEN;1
AICAUDIPL;1
AICHEQ   ;6
AICHEQADO;35
AICHEQPEN;48
AICONTCOM;1
AIEINCONS;1
AIEJECSEN;1
AIFAL    ;47
AIFALJDO ;45
AIFALSEC ;45
AIINCOSTO;1
AIJDOADOL;48
AIJDOPEN ;48
AIOTROS  ;9
AIPAZ117 ;176
AIPAZADO ;171
AIPEN    ;251
AIPEN2   ;48
AIPENPAZ ;247
AIPENPAZR;179
AIRECQDC ;1
AIRECQDEI;1
AIRECREV ;1
AISEX    ;2
AITOT    ;69
AIVISITAS;9
ARCHFAL  ;45
ARCHI    ;8
AREFAMVD ;51
AREMT_SGJ;10
AREMTADOL;4
AREMTADUA;1
AREMTPEN ;33
AREPEVD  ;63
ARLDOCNA ;54
AUDCOMP  ;100
AUDCOMP_S;8
AUDCONCI_;8
AUDLECT  ;100
AUDLECT_S;8
AUDNOT   ;100
AUDOTR   ;100
AUDOTR_SG;8
AUDPREL_0;8
AUDPREL_S;8
AUDPRO   ;100
AUDR_2   ;95
AUDR_2015;98
AUDR_SGJM;8
AUDTPAR  ;100
AUDTTOT  ;103
AUDUNI_SG;8
AUDVOL   ;100
AUDVOL_SG;8
CEDULON_S;8
COMDNA   ;1
CUMINI   ;38
DECEM    ;24
DECEM_SGJ;8
DECTR    ;250
DECTR_SCJ;1
EXCUM    ;214
EXCUM_SGJ;8
EXPEJECTR;4
EXPEJECTR;47
EXPEJECTR;50
EXPTR_31/;104
EXPTR_31/;104
EXPTR_31/;8
EXPTR_CGP;181
EXPTR_CNA;58
EXPTR_FAL;49
EXPTR_OTR;172
EXPTR_TAP;17
EXPTR_VD ;57
EXREC_SGJ;8
INDINI   ;48
INFRINICI;48
INFRINISI;44
INIJDO   ;167
INIORDA  ;167
INIORDA_S;10
INISD    ;167
INISD_SGJ;10
LIQPENA  ;2
NOTELEC  ;17
NOTIF    ;9
OFILIB_SG;8
OFILIBSGJ;2
OFNEJ    ;2
OFSICO   ;2
PROV     ;272
PROVADOL ;4
PROVPRES ;22
PROVSUM  ;22
RECAP_18.;2
RECEJEC  ;2
REM_SCJ  ;2
SENDEF188;46
SENDEF_SC;1
SENDEF_SG;8
SENDEFADO;4
SENDEFADU;1
SENDEFCIV;57
SENDEFCON;51
SENDEFCON;51
SENDEFFAL;45
SENDEFFAM;65
SENDEFLAB;59
SENDEFPAZ;180
SENINT   ;122
SENINT_SG;8
SENTINT  ;1
SUMINICPR;48
SUMINISPR;46
