Cod_sede,Depto,Ciudad,CG,Sede,Juez,comunidad con,Oficina,Categ,Turno,Secc,Comp,Variable,Valor
-1,1,-1,-1,-1,1,-1,1,1,1,-1,6,INDTR,34
-1,1,-1,-1,-1,1,-1,1,1,1,-1,6,INFRTR,18
-1,1,-1,-1,-1,1,-1,1,1,1,-1,6,EJESENTR,118
-1,1,-1,-1,-1,1,-1,1,1,1,-1,6,RESTEL,900
-1,1,-1,-1,-1,1,-1,1,1,1,-1,6,AIADOL,202
-1,1,-1,-1,-1,1,-1,1,1,1,-1,6,INFRINI,132
-1,1,-1,-1,-1,1,-1,1,1,1,-1,6,SENDEF,113
-1,1,-1,-1,-1,1,-1,1,1,1,-1,6,AARCH,183
-1,1,-1,-1,-1,1,-1,1,1,1,-1,6,EXREC,35
-1,1,-1,-1,-1,1,-1,1,1,1,-1,6,OFILIB,1432
-1,1,-1,-1,-1,1,-1,1,1,2,-1,6,INDTR,14
-1,1,-1,-1,-1,1,-1,1,1,2,-1,6,INFRTR,20
-1,1,-1,-1,-1,1,-1,1,1,2,-1,6,EJESENTR,223
-1,1,-1,-1,-1,1,-1,1,1,2,-1,6,RESTEL,950
-1,1,-1,-1,-1,1,-1,1,1,2,-1,6,AIADOL,305
-1,1,-1,-1,-1,1,-1,1,1,2,-1,6,INFRINI,206
-1,1,-1,-1,-1,1,-1,1,1,2,-1,6,SENDEF,115
-1,1,-1,-1,-1,1,-1,1,1,2,-1,6,AARCH,148
-1,1,-1,-1,-1,1,-1,1,1,2,-1,6,EXREC,31
-1,1,-1,-1,-1,1,-1,1,1,2,-1,6,OFILIB,2070
-1,1,-1,-1,-1,1,-1,1,1,3,-1,6,INDTR,3
-1,1,-1,-1,-1,1,-1,1,1,3,-1,6,INFRTR,2
-1,1,-1,-1,-1,1,-1,1,1,3,-1,6,EJESENTR,202
-1,1,-1,-1,-1,1,-1,1,1,3,-1,6,RESTEL,0
-1,1,-1,-1,-1,1,-1,1,1,3,-1,6,AIADOL,222
-1,1,-1,-1,-1,1,-1,1,1,3,-1,6,INFRINI,159
-1,1,-1,-1,-1,1,-1,1,1,3,-1,6,SENDEF,136
-1,1,-1,-1,-1,1,-1,1,1,3,-1,6,AARCH,155
-1,1,-1,-1,-1,1,-1,1,1,3,-1,6,EXREC,22
-1,1,-1,-1,-1,1,-1,1,1,3,-1,6,OFILIB,1260
-1,1,-1,-1,-1,1,-1,1,1,4,-1,6,INDTR,2
-1,1,-1,-1,-1,1,-1,1,1,4,-1,6,INFRTR,20
-1,1,-1,-1,-1,1,-1,1,1,4,-1,6,EJESENTR,176
-1,1,-1,-1,-1,1,-1,1,1,4,-1,6,RESTEL,1008
-1,1,-1,-1,-1,1,-1,1,1,4,-1,6,AIADOL,313
-1,1,-1,-1,-1,1,-1,1,1,4,-1,6,INFRINI,178
-1,1,-1,-1,-1,1,-1,1,1,4,-1,6,SENDEF,114
-1,1,-1,-1,-1,1,-1,1,1,4,-1,6,AARCH,149
-1,1,-1,-1,-1,1,-1,1,1,4,-1,6,EXREC,44
-1,1,-1,-1,-1,1,-1,1,1,4,-1,6,OFILIB,1061
