Cod_sede,Depto,Ciudad,CG,Sede,Juez,comunidad con,Oficina,Categ,Turno,Secc,Comp,Variable,Valor
-1,1,-1,-1,-1,1,-1,1,1,1,-1,13,INIEJEC,2099
-1,1,-1,-1,-1,1,-1,1,1,1,-1,13,EXPTR,8334
-1,1,-1,-1,-1,1,-1,1,1,1,-1,13,OFILIB,16318
-1,1,-1,-1,-1,1,-1,1,1,1,-1,13,EXREC,224
-1,1,-1,-1,-1,1,-1,1,1,1,-1,13,AARCH,894
-1,1,-1,-1,-1,1,-1,1,1,1,-1,13,PRESOPEN,986
-1,1,-1,-1,-1,1,-1,1,1,2,-1,13,INIEJEC,2169
-1,1,-1,-1,-1,1,-1,1,1,2,-1,13,EXPTR,8898
-1,1,-1,-1,-1,1,-1,1,1,2,-1,13,OFILIB,19849
-1,1,-1,-1,-1,1,-1,1,1,2,-1,13,EXREC,103
-1,1,-1,-1,-1,1,-1,1,1,2,-1,13,AARCH,1470
-1,1,-1,-1,-1,1,-1,1,1,2,-1,13,PRESOPEN,917
