Cod_sede,Depto,Ciudad,CG,Sede,Juez,comunidad con,Oficina,Categ,Turno,Secc,Comp,Variable,Valor
-1,1,-1,-1,-1,1,-1,1,2,1,-1,12,Trfaltas,333
-1,1,-1,-1,-1,1,-1,1,2,1,-1,12,RESTEL,3320
-1,1,-1,-1,-1,1,-1,1,2,1,-1,12,AIFALTAS,906
-1,1,-1,-1,-1,1,-1,1,2,1,-1,12,AARCH,1096
-1,1,-1,-1,-1,1,-1,1,2,1,-1,12,SENTDEF,354
-1,1,-1,-1,-1,1,-1,1,2,1,-1,12,EXREC,1
-1,1,-1,-1,-1,1,-1,1,2,1,-1,12,OFICIOS,3024
-1,1,-1,-1,-1,1,-1,1,2,1,-1,12,PARTES,475
-1,1,-1,-1,-1,1,-1,1,2,2,-1,12,Trfaltas,318
-1,1,-1,-1,-1,1,-1,1,2,2,-1,12,RESTEL,2713
-1,1,-1,-1,-1,1,-1,1,2,2,-1,12,AIFALTAS,706
-1,1,-1,-1,-1,1,-1,1,2,2,-1,12,AARCH,710
-1,1,-1,-1,-1,1,-1,1,2,2,-1,12,SENTDEF,328
-1,1,-1,-1,-1,1,-1,1,2,2,-1,12,EXREC,0
-1,1,-1,-1,-1,1,-1,1,2,2,-1,12,OFICIOS,2027
-1,1,-1,-1,-1,1,-1,1,2,2,-1,12,PARTES,414
