Cod_sede,Depto,Ciudad,CG,Sede,Juez,comunidad con,Oficina,Categ,Turno,Secc,Comp,Variable,Valor
-1,1,-1,-1,-1,1,-1,1,1,1,-1,11,AIVD,792
-1,1,-1,-1,-1,1,-1,1,1,1,-1,11,AUDPREL,637
-1,1,-1,-1,-1,1,-1,1,1,1,-1,11,AUDEVA,304
-1,1,-1,-1,-1,1,-1,1,1,1,-1,11,AICNA,339
-1,1,-1,-1,-1,1,-1,1,1,1,-1,11,VISITAS,22
-1,1,-1,-1,-1,1,-1,1,1,1,-1,11,Otros_tipojuicio,177
-1,1,-1,-1,-1,1,-1,1,1,1,-1,11,RESTEL,1018
-1,1,-1,-1,-1,1,-1,1,1,1,-1,11,TRVD,724
-1,1,-1,-1,-1,1,-1,1,1,1,-1,11,AUDUNI,293
-1,1,-1,-1,-1,1,-1,1,1,2,-1,11,AIVD,894
-1,1,-1,-1,-1,1,-1,1,1,2,-1,11,AUDPREL,694
-1,1,-1,-1,-1,1,-1,1,1,2,-1,11,AUDEVA,205
-1,1,-1,-1,-1,1,-1,1,1,2,-1,11,AICNA,431
-1,1,-1,-1,-1,1,-1,1,1,2,-1,11,VISITAS,31
-1,1,-1,-1,-1,1,-1,1,1,2,-1,11,Otros_tipojuicio,143
-1,1,-1,-1,-1,1,-1,1,1,2,-1,11,RESTEL,1142
-1,1,-1,-1,-1,1,-1,1,1,2,-1,11,TRVD,678
-1,1,-1,-1,-1,1,-1,1,1,2,-1,11,AUDUNI,344
-1,1,-1,-1,-1,1,-1,1,1,5,-1,11,AIVD,1098
-1,1,-1,-1,-1,1,-1,1,1,5,-1,11,AUDPREL,832
-1,1,-1,-1,-1,1,-1,1,1,5,-1,11,AUDEVA,344
-1,1,-1,-1,-1,1,-1,1,1,5,-1,11,AICNA,604
-1,1,-1,-1,-1,1,-1,1,1,5,-1,11,VISITAS,46
-1,1,-1,-1,-1,1,-1,1,1,5,-1,11,Otros_tipojuicio,218
-1,1,-1,-1,-1,1,-1,1,1,5,-1,11,RESTEL,3702
-1,1,-1,-1,-1,1,-1,1,1,5,-1,11,TRVD,1197
-1,1,-1,-1,-1,1,-1,1,1,5,-1,11,AUDUNI,68
-1,1,-1,-1,-1,1,-1,2,1,3,-1,11,AIVD,1101
-1,1,-1,-1,-1,1,-1,2,1,3,-1,11,AUDPREL,1365
-1,1,-1,-1,-1,1,-1,2,1,3,-1,11,AUDEVA,422
-1,1,-1,-1,-1,1,-1,2,1,3,-1,11,AICNA,505
-1,1,-1,-1,-1,1,-1,2,1,3,-1,11,VISITAS,61
-1,1,-1,-1,-1,1,-1,2,1,3,-1,11,Otros_tipojuicio,157
-1,1,-1,-1,-1,1,-1,2,1,3,-1,11,RESTEL,2089
-1,1,-1,-1,-1,1,-1,2,1,3,-1,11,TRVD,1220
-1,1,-1,-1,-1,1,-1,2,1,3,-1,11,AUDUNI,497
-1,1,-1,-1,-1,1,-1,2,1,4,-1,11,AIVD,756
-1,1,-1,-1,-1,1,-1,2,1,4,-1,11,AUDPREL,989
-1,1,-1,-1,-1,1,-1,2,1,4,-1,11,AUDEVA,957
-1,1,-1,-1,-1,1,-1,2,1,4,-1,11,AICNA,412
-1,1,-1,-1,-1,1,-1,2,1,4,-1,11,VISITAS,56
-1,1,-1,-1,-1,1,-1,2,1,4,-1,11,Otros_tipojuicio,99
-1,1,-1,-1,-1,1,-1,2,1,4,-1,11,RESTEL,1350
-1,1,-1,-1,-1,1,-1,2,1,4,-1,11,TRVD,509
-1,1,-1,-1,-1,1,-1,2,1,4,-1,11,AUDUNI,925
-1,1,-1,-1,-1,1,-1,2,1,6,-1,11,AIVD,626
-1,1,-1,-1,-1,1,-1,2,1,6,-1,11,AUDPREL,780
-1,1,-1,-1,-1,1,-1,2,1,6,-1,11,AUDEVA,215
-1,1,-1,-1,-1,1,-1,2,1,6,-1,11,AICNA,344
-1,1,-1,-1,-1,1,-1,2,1,6,-1,11,VISITAS,27
-1,1,-1,-1,-1,1,-1,2,1,6,-1,11,Otros_tipojuicio,135
-1,1,-1,-1,-1,1,-1,2,1,6,-1,11,RESTEL,1980
-1,1,-1,-1,-1,1,-1,2,1,6,-1,11,TRVD,1021
-1,1,-1,-1,-1,1,-1,2,1,6,-1,11,AUDUNI,741
