Cod_sede,Depto,Ciudad,CG,Sede,Juez,comunidad con,Oficina,Categ,Turno,Secc,Comp,Variable,Valor
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,PRESUMTR,237
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,SUMTR,190
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,CUMTR,0
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,EJESEN,0
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,CUMSENT,0
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,INDTR,0
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,INFRTR,3
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,EJESENTR,5
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,ADUATR,2
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,INIPEN2015,190
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,INIADOL,4
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,AIADUA,1
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,AICIV,59
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,AIFAM,215
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,AILAB,31
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,AICONT,0
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,AICONC,0
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,PRESINI,112
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,SUMINI,47
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,INFRINIADOL,4
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,SENDEFPE,33
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,SENDEFAO,0
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,SENDEFAU,0
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,SDCIV,6
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,SDFAM,35
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,SDLAB,11
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,SDCONT,0
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,SDCONC,0
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,PRESOSS,21
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,PRESOCS,1
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,PRESOPEN,1
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,PENLIB,0
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,INIMP,3
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,PROFUG,3
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,DENPOLVD,26
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,AIOTRJDOVD,12
-1,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,-1,AIBARVD,19
