Cod_sede,Depto,Ciudad,CG,Sede,Juez,comunidad con,Oficina,Categ,Turno,Secc,Comp,Variable,Valor
-1,-1,-1,-1,-1,3,-1,1,7,1,-1,P,RECAPSD,100
-1,-1,-1,-1,-1,3,-1,1,7,1,-1,P,RECAPSI,54
-1,-1,-1,-1,-1,3,-1,1,7,1,-1,P,RECQUE,3
-1,-1,-1,-1,-1,3,-1,1,7,1,-1,P,CASACION,15
-1,-1,-1,-1,-1,3,-1,1,7,1,-1,P,TRTAP,343
-1,-1,-1,-1,-1,3,-1,1,7,1,-1,P,PRESOSS2,159
-1,-1,-1,-1,-1,3,-1,1,7,1,-1,P,PRESOSCS2,97
-1,-1,-1,-1,-1,3,-1,2,7,2,-1,P,RECAPSD,317
-1,-1,-1,-1,-1,3,-1,2,7,2,-1,P,RECAPSI,93
-1,-1,-1,-1,-1,3,-1,2,7,2,-1,P,RECQUE,5
-1,-1,-1,-1,-1,3,-1,2,7,2,-1,P,CASACION,9
-1,-1,-1,-1,-1,3,-1,2,7,2,-1,P,TRTAP,181
-1,-1,-1,-1,-1,3,-1,2,7,2,-1,P,PRESOSS2,56
-1,-1,-1,-1,-1,3,-1,2,7,2,-1,P,PRESOSCS2,74
-1,-1,-1,-1,-1,3,-1,3,7,3,-1,P,RECAPSD,336
-1,-1,-1,-1,-1,3,-1,3,7,3,-1,P,RECAPSI,103
-1,-1,-1,-1,-1,3,-1,3,7,3,-1,P,RECQUE,4
-1,-1,-1,-1,-1,3,-1,3,7,3,-1,P,CASACION,11
-1,-1,-1,-1,-1,3,-1,3,7,3,-1,P,TRTAP,433
-1,-1,-1,-1,-1,3,-1,3,7,3,-1,P,PRESOSS2,180
-1,-1,-1,-1,-1,3,-1,3,7,3,-1,P,PRESOSCS2,88
-1,-1,-1,-1,-1,3,-1,3,7,4,-1,P,RECAPSD,389
-1,-1,-1,-1,-1,3,-1,3,7,4,-1,P,RECAPSI,90
-1,-1,-1,-1,-1,3,-1,3,7,4,-1,P,RECQUE,2
-1,-1,-1,-1,-1,3,-1,3,7,4,-1,P,CASACION,4
-1,-1,-1,-1,-1,3,-1,3,7,4,-1,P,TRTAP,458
-1,-1,-1,-1,-1,3,-1,3,7,4,-1,P,PRESOSS2,250
-1,-1,-1,-1,-1,3,-1,3,7,4,-1,P,PRESOSCS2,58
