Cod_sede,Depto,Ciudad,CG,Sede,Juez,comunidad con,Oficina,Categ,Turno,Secc,Comp,Variable,Valor
-1,-1,-1,-1,-1,3,-1,1,7,1,-1,C,RECAPSD,181
-1,-1,-1,-1,-1,3,-1,1,7,1,-1,C,RECAPSI,98
-1,-1,-1,-1,-1,3,-1,1,7,1,-1,C,RECQUE,5
-1,-1,-1,-1,-1,3,-1,1,7,1,-1,C,NULIDAD,6
-1,-1,-1,-1,-1,3,-1,1,7,1,-1,C,ACYAMP,14
-1,-1,-1,-1,-1,3,-1,1,7,1,-1,C,CASACION,23
-1,-1,-1,-1,-1,3,-1,1,7,1,-1,C,TRTAP,119
-1,-1,-1,-1,-1,3,-1,1,7,1,-1,C,AUDR,9
-1,-1,-1,-1,-1,3,-1,1,7,5,-1,C,RECAPSD,174
-1,-1,-1,-1,-1,3,-1,1,7,5,-1,C,RECAPSI,68
-1,-1,-1,-1,-1,3,-1,1,7,5,-1,C,RECQUE,4
-1,-1,-1,-1,-1,3,-1,1,7,5,-1,C,NULIDAD,9
-1,-1,-1,-1,-1,3,-1,1,7,5,-1,C,ACYAMP,10
-1,-1,-1,-1,-1,3,-1,1,7,5,-1,C,CASACION,21
-1,-1,-1,-1,-1,3,-1,1,7,5,-1,C,TRTAP,160
-1,-1,-1,-1,-1,3,-1,1,7,5,-1,C,AUDR,9
-1,-1,-1,-1,-1,3,-1,2,7,2,-1,C,RECAPSD,167
-1,-1,-1,-1,-1,3,-1,2,7,2,-1,C,RECAPSI,82
-1,-1,-1,-1,-1,3,-1,2,7,2,-1,C,RECQUE,8
-1,-1,-1,-1,-1,3,-1,2,7,2,-1,C,NULIDAD,6
-1,-1,-1,-1,-1,3,-1,2,7,2,-1,C,ACYAMP,11
-1,-1,-1,-1,-1,3,-1,2,7,2,-1,C,CASACION,24
-1,-1,-1,-1,-1,3,-1,2,7,2,-1,C,TRTAP,120
-1,-1,-1,-1,-1,3,-1,2,7,2,-1,C,AUDR,19
-1,-1,-1,-1,-1,3,-1,2,7,6,-1,C,RECAPSD,161
-1,-1,-1,-1,-1,3,-1,2,7,6,-1,C,RECAPSI,58
-1,-1,-1,-1,-1,3,-1,2,7,6,-1,C,RECQUE,7
-1,-1,-1,-1,-1,3,-1,2,7,6,-1,C,NULIDAD,6
-1,-1,-1,-1,-1,3,-1,2,7,6,-1,C,ACYAMP,4
-1,-1,-1,-1,-1,3,-1,2,7,6,-1,C,CASACION,12
-1,-1,-1,-1,-1,3,-1,2,7,6,-1,C,TRTAP,179
-1,-1,-1,-1,-1,3,-1,2,7,6,-1,C,AUDR,42
-1,-1,-1,-1,-1,3,-1,3,7,3,-1,C,RECAPSD,181
-1,-1,-1,-1,-1,3,-1,3,7,3,-1,C,RECAPSI,55
