pestaña,Cod_sede,Depto,Ciudad,CG,Sede,Juez,comunidad con,Oficina,Categ,Turno,Secc,Comp,Act_Jur,Cantidad
Aduana Mvd,442,1,-1,-1,-1,1,-1,1,1,1,-1,7,ADUATR_ANT,436
Aduana Mvd,442,1,-1,-1,-1,1,-1,1,1,1,-1,7,ADUATR,389
Aduana Mvd,442,1,-1,-1,-1,1,-1,1,1,1,-1,7,RESTEL,23
Aduana Mvd,442,1,-1,-1,-1,1,-1,1,1,1,-1,7,AIADUA_ANT,131
Aduana Mvd,442,1,-1,-1,-1,1,-1,1,1,1,-1,7,AIADUA,136
Aduana Mvd,442,1,-1,-1,-1,1,-1,1,1,1,-1,7,AARCHADUA,172
Aduana Mvd,442,1,-1,-1,-1,1,-1,1,1,1,-1,7,AREMTADUA,14
Aduana Mvd,442,1,-1,-1,-1,1,-1,1,1,1,-1,7,COMDNA,9
Aduana Mvd,442,1,-1,-1,-1,1,-1,1,1,1,-1,7,SENDEFADU_ANT,46
Aduana Mvd,442,1,-1,-1,-1,1,-1,1,1,1,-1,7,SENDEFADU,55
Aduana Mvd,442,1,-1,-1,-1,1,-1,1,1,1,-1,7,DECTR,2013
Aduana Mvd,442,1,-1,-1,-1,1,-1,1,1,1,-1,7,OFILIB,467
Aduana Mvd,442,1,-1,-1,-1,1,-1,1,1,1,-1,7,EXREC,89
Aduana Mvd,442,1,-1,-1,-1,1,-1,1,1,1,-1,7,EXCUM,88
Aduana Mvd,442,1,-1,-1,-1,1,-1,1,1,1,-1,7,DILALGUA,417
Aduana Mvd,442,1,-1,-1,-1,1,-1,1,1,1,-1,7,CEDULON,1653
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,INDTR_ANT,34
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,INDTR,8
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,INFRTR_ANT,18
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,INFRTR,19
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,EXPEJECTR_ANT,118
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,EXPEJECTR,150
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,ADOLCSENT,48
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,ADOLSSENT,7
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,RESTEL_ANT,900
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,RESTEL,900
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,AIADOL_ANT,202
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,AIADOL,167
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,INDINI_ANT,70
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,INDINI,167
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,INFRINICIND,88
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,INFRINISIND,0
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,INFRINI_ANT,132
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,INFRINI,88
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,AICHEQ,0
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,SENDEFADOL_ANT,113
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,SENDEFADOL,102
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,AARCHADOL,217
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,AREMTADOL,19
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,EXREC,25
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,EXCUM,25
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,PROVADOL,1510
Adolescentes Mvd,437,1,-1,-1,-1,1,-1,1,1,1,-1,6,OFILIB,1167
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,INDTR_ANT,14
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,INDTR,9
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,INFRTR_ANT,20
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,INFRTR,20
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,EXPEJECTR_ANT,223
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,EXPEJECTR,170
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,ADOLCSENT,50
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,ADOLSSENT,13
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,RESTEL_ANT,950
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,RESTEL,890
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,AIADOL_ANT,305
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,AIADOL,271
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,INDINI_ANT,99
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,INDINI,271
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,INFRINICIND,113
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,INFRINISIND,0
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,INFRINI_ANT,206
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,INFRINI,113
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,AICHEQ,0
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,SENDEFADOL_ANT,115
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,SENDEFADOL,119
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,AARCHADOL,335
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,AREMTADOL,26
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,EXREC,13
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,EXCUM,13
Adolescentes Mvd,438,1,-1,-1,-1,1,-1,1,1,2,-1,6,PROVADOL,2205
