Cod_sede,Depto,Ciudad,CG,Sede,Juez,comunidad con,Oficina,Categ,Turno,Secc,Comp,Variable,Valor
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,INDTR_ANT,34
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,INDTR,8
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,INFRTR_ANT,18
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,INFRTR,19
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,EXPEJECTR_ANT,118
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,EXPEJECTR,150
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,ADOLCSENT,48
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,ADOLSSENT,7
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,RESTEL_ANT,900
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,RESTEL,900
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,AIADOL_ANT,202
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,AIADOL,167
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,INDINI_ANT,70
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,INDINI,167
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,INFRINICIND,88
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,INFRINISIND,0
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,INFRINI_ANT,132
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,INFRINI,88
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,AICHEQ,0
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,SENDEFADOL_ANT,113
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,SENDEFADOL,102
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,AARCHADOL,217
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,AREMTADOL,19
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,EXREC,25
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,EXCUM,25
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,PROVADOL,1510
437,1,-1,-1,-1,1,-1,1,1,1,-1,6,OFILIB,1167
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,INDTR_ANT,14
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,INDTR,9
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,INFRTR_ANT,20
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,INFRTR,20
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,EXPEJECTR_ANT,223
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,EXPEJECTR,170
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,ADOLCSENT,50
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,ADOLSSENT,13
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,RESTEL_ANT,950
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,RESTEL,890
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,AIADOL_ANT,305
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,AIADOL,271
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,INDINI_ANT,99
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,INDINI,271
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,INFRINICIND,113
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,INFRINISIND,0
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,INFRINI_ANT,206
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,INFRINI,113
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,AICHEQ,0
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,SENDEFADOL_ANT,115
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,SENDEFADOL,119
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,AARCHADOL,335
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,AREMTADOL,26
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,EXREC,13
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,EXCUM,13
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,PROVADOL,2205
438,1,-1,-1,-1,1,-1,1,1,2,-1,6,OFILIB,1588
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,INDTR_ANT,3
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,INDTR,7
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,INFRTR_ANT,2
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,INFRTR,23
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,EXPEJECTR_ANT,202
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,EXPEJECTR,163
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,ADOLCSENT,49
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,ADOLSSENT,10
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,RESTEL_ANT,0
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,RESTEL,843
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,AIADOL_ANT,222
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,AIADOL,230
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,INDINI_ANT,222
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,INDINI,230
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,INFRINICIND,116
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,INFRINISIND,0
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,INFRINI_ANT,159
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,INFRINI,116
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,AICHEQ,0
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,SENDEFADOL_ANT,136
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,SENDEFADOL,138
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,AARCHADOL,249
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,AREMTADOL,19
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,EXREC,9
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,EXCUM,9
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,PROVADOL,1333
439,1,-1,-1,-1,1,-1,1,1,3,-1,6,OFILIB,1337
441,1,-1,-1,-1,1,-1,1,1,4,-1,6,INDTR_ANT,2
441,1,-1,-1,-1,1,-1,1,1,4,-1,6,INDTR,9
441,1,-1,-1,-1,1,-1,1,1,4,-1,6,INFRTR_ANT,20
441,1,-1,-1,-1,1,-1,1,1,4,-1,6,INFRTR,22
441,1,-1,-1,-1,1,-1,1,1,4,-1,6,EXPEJECTR_ANT,176
441,1,-1,-1,-1,1,-1,1,1,4,-1,6,EXPEJECTR,140
441,1,-1,-1,-1,1,-1,1,1,4,-1,6,ADOLCSENT,92
