Cod_sede,Depto,Ciudad,CG,Sede,Juez,comunidad con,Oficina,Categ,Turno,Secc,Comp,Variable,Valor
442,1,-1,-1,-1,1,-1,1,1,1,-1,7,ADUATR_ANT,436
442,1,-1,-1,-1,1,-1,1,1,1,-1,7,ADUATR,389
442,1,-1,-1,-1,1,-1,1,1,1,-1,7,RESTEL,23
442,1,-1,-1,-1,1,-1,1,1,1,-1,7,AIADUA_ANT,131
442,1,-1,-1,-1,1,-1,1,1,1,-1,7,AIADUA,136
442,1,-1,-1,-1,1,-1,1,1,1,-1,7,AARCHADUA,172
442,1,-1,-1,-1,1,-1,1,1,1,-1,7,AREMTADUA,14
442,1,-1,-1,-1,1,-1,1,1,1,-1,7,COMDNA,9
442,1,-1,-1,-1,1,-1,1,1,1,-1,7,SENDEFADU_ANT,46
442,1,-1,-1,-1,1,-1,1,1,1,-1,7,SENDEFADU,55
442,1,-1,-1,-1,1,-1,1,1,1,-1,7,DECTR,2013
442,1,-1,-1,-1,1,-1,1,1,1,-1,7,OFILIB,467
442,1,-1,-1,-1,1,-1,1,1,1,-1,7,EXREC,89
442,1,-1,-1,-1,1,-1,1,1,1,-1,7,EXCUM,88
442,1,-1,-1,-1,1,-1,1,1,1,-1,7,DILALGUA,417
442,1,-1,-1,-1,1,-1,1,1,1,-1,7,CEDULON,1653
