Cod_sede,Depto,Ciudad,CG,Sede,Juez,comunidad con,Oficina,Categ,Turno,Secc,Comp,Variable,Valor
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,INIORDA,623
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,INIJDO,36
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,INISD,56
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,AI_ANT,686
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,AI,715
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,AUDR_ANT,260
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,AUDR,263
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,SENDEF_ANT,33
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,SENDEF,40
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,SENINT,51
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,PROV,3467
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,OFILIB,1276
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,EXREC,24
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,AARCH,609
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,CEDULON,837
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,EXPTR_31/12/15,431
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,EXPTR_31/12/16,598
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,AUDCON_ANT,269
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,AUDCON,276
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,AUDR_ANT_2,255
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,AUDR_2,264
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,AUDS,12
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,AUDNOT,236
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,AUDTTOT,21
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,AUDTPAR,0
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,AUDPRO,7
114,1,-1,-1,-1,1,-1,1,2,2,-1,9,AUDPREL,91
