Cod_sede,Depto,Ciudad,CG,Sede,Juez,comunidad con,Oficina,Categ,Turno,Secc,Comp,Variable,Valor
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AICIV_ANT,163
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AICIV,168
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AILAB_ANT,152
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AILAB,159
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AICONT_ANT,0
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AICONT,0
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AICONC_ANT,0
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AICONC,0
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AIFAM_ANT,353
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AIFAM,350
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,SENDEFCIV_ANT,15
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,SENDEFCIV,16
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,SENDEFFAM_ANT,50
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,SENDEFFAM,69
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,SENDEFLAB_ANT,16
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,SENDEFLAB,20
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,SENDEFCONT_ANT,0
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,SENDEFCONT,0
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,SENDEFCONC_ANT,0
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,SENDEFCONC,0
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,DECTR,6481
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,DENPOLVD,213
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AIOTRJDOVD,10
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AIBARVD,3
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AIVD_ANT,193
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AIVD,226
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AREFAMVD,18
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AREPEVD,4
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AUDPREL_11,18
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AUDEVAL,22
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,EXPTR_VD,297
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AICNA_ANT,179
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AICNA,161
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,ARLDOCNA,22
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,EXPTR_CNA,207
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AI18895,0
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,SENDEF18895,0
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AI_ANT,0
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,INIORDA,0
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,INIJDO,800
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,INISD,264
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AITOT_ANT,1040
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AITOT,1064
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AUDR,566
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,SENDEF_ANT,81
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,SENDEF,105
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,SENINT,162
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,PROV,6319
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,OFILIB,1849
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,EXREC,154
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AARCH,1095
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,CEDULON,1338
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,EXPTR,1722
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,ADUCON,671
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AUDR_ANT,454
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AUDR,566
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AUDS,105
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AUDNOT,502
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AUDTTOT,57
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AUDTPAR,1
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AUDPRO,6
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AUDPREL,167
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AUDCOMP,42
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AUDUNI,101
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AUDVOL,202
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AUDLECT,7
156,2,Artigas,-1,-1,1,-1,-1,1,2,-1,18,AUDOTR,47
461,2,Artigas,-1,-1,1,-1,-1,1,3,-1,18,AICIV_ANT,169
461,2,Artigas,-1,-1,1,-1,-1,1,3,-1,18,AICIV,158
