Cod_sede,Depto,Ciudad,CG,Sede,Juez,comunidad con,Oficina,Categ,Turno,Secc,Comp,Variable,Valor
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,PRESUMTR_ANT,237
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,PRESUMTR,193
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,SUMTR_ANT,190
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,SUMTR,87
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,CUMTR_ANT,0
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,CUMTR,35
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,EXPEJECTRPE,88
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,INDTR_ANT,0
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,INFRTR_ANT,3
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,INFRTR,3
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,EXPEJECTRADOL,0
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,ADUATR_ANT,2
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,ADUATR,4
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,AIJDOPEN_ANT,158
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,AIJDOPEN,167
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,AIPENPAZ_ANT,32
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,AIPENPAZ,21
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,AIPEN_ANT,190
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,AIPEN,188
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,AIJDOADOL_ANT,4
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,AIJDOADOL,8
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,AIADOLPAZ_ANT,0
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,AIADOLPAZ,0
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,AIADOL_ANT,4
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,AIADOL,8
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,AIADUA_ANT,1
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,AIADUA,2
424,2,Bella Unión,-1,-1,1,-1,-1,1,1,-1,14,AICIV_ANT,59
