Cod_sede,Depto,Ciudad,CG,Sede,Juez,comunidad con,Oficina,Categ,Turno,Secc,Comp,Variable,Valor
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,PRESUMTR_ANT,580
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,PRESUMTR,484
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,SUMTR_ANT,395
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,SUMTR,330
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,CUMTR_ANT,46
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,CUMTR,50
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,EXPEJECTRPE,425
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,CUMSENT,55
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,INDTR_ANT,2
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,INDTR,34
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,INFRTR_ANT,7
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,INFRTR,8
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,EXPEJECTRADOL,0
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,ADUATR_ANT,22
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,ADUATR,10
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,AIJDOPEN_ANT,412
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,AIJDOPEN,606
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,AIPENPAZ_ANT,1
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,AIPENPAZ,1
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,AIPEN_ANT,413
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,AIPEN,607
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,PRESINI_ANT,293
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,PRESINI,522
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,SUMINICPRE,5
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,SUMINISPRE,110
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,SUMINI_ANT,108
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,SUMINI,115
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,AIPEN2,632
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,AICHEQPEN,-25
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,CUMINI,4
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,AIJDOADOL_ANT,46
155,2,Artigas,-1,-1,1,-1,-1,1,1,-1,16,AIJDOADOL,42
