Cod_sede,Depto,Ciudad,CG,Sede,Juez,comunidad con,Oficina,Categ,Turno,Secc,Comp,Variable,Valor
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,AIPEN_ANT,422
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,AIPEN,332
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,SENDEF_ANT,222
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,SENDEF,276
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,SENINT,0
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,DECEM,3577
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,EXPTR_ANT,468
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,EXPTR,662
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,OFILIB,1647
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,EXREC,97
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,EXCUM,107
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,AARCHPEN,414
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,PRESINI_ANT,275
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,PRESINI,301
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,SUMINI_ANT,175
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,SUMINI,199
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,AIPENPAZ,0
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,PROVPRES,1555
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,PROVSUM,1821
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,PRESUMTR_ANT,289
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,PRESUMTR,332
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,SUMTR_ANT,233
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,SUMTR,307
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,CUMTR_ANT,62
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,CUMTR,70
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,PRESOSS_ANT,81
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,PRESOSS,69
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,PRESOCS_ANT,39
87,1,-1,-1,-1,1,-1,1,1,1,-1,5,PRESOCS,11
88,1,-1,-1,-1,1,-1,1,1,7,-1,5,AIPEN_ANT,498
88,1,-1,-1,-1,1,-1,1,1,7,-1,5,AIPEN,454
88,1,-1,-1,-1,1,-1,1,1,7,-1,5,SENDEF_ANT,167
88,1,-1,-1,-1,1,-1,1,1,7,-1,5,SENDEF,254
88,1,-1,-1,-1,1,-1,1,1,7,-1,5,SENINT,12
88,1,-1,-1,-1,1,-1,1,1,7,-1,5,DECEM,3889
88,1,-1,-1,-1,1,-1,1,1,7,-1,5,EXPTR_ANT,397
88,1,-1,-1,-1,1,-1,1,1,7,-1,5,EXPTR,777
