Cod_sede,Depto,Ciudad,CG,Sede,Juez,comunidad con,Oficina,Categ,Turno,Secc,Comp,Variable,Valor
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,SENDEF_SCJ_ANT,346
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,SENDEF_SCJ,664
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,SENTINT_ANT,307
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,SENTINT,434
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,DECTR_SCJ_ANT,1898
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,DECTR_SCJ,1659
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AICASACIV_ANT,153
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AICASACIV,127
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AICASALAB_ANT,50
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AICASALAB,57
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AICASAFAM_ANT,23
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AICASAFAM,21
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AICASAPEN_ANT,38
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AICASAPEN,38
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AICASA_total_ANT,264
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AICASA_total,243
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AIAINCONST_ANT,77
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AIAINCONST,50
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AIEINCONST_ANT,157
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AIEINCONST,521
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AIINCOSTOF_ANT,1
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AIINCOSTOF,3
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AICONTCOMP_ANT,71
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AICONTCOMP,68
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AIRECQDC_ANT,9
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AIRECQDC,15
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AIRECQDEI_ANT,3
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AIRECQDEI,7
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AIRECREV_ANT,26
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AIRECREV,21
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AIEJECSENTEXT_ANT,1
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AIEJECSENTEXT,4
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AICAUDIPLO_ANT,1
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AICAUDIPLO,1
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AIOtros_ANT,41
1,-1,-1,-1,-1,5,-1,1,8,0,-1,22,AIOtros,31
