Cod_sede,Depto,Ciudad,CG,Sede,Juez,comunidad con,Oficina,Categ,Turno,Secc,Comp,Variable,Valor
3,-1,-1,-1,-1,3,-1,1,7,1,-1,2,RECAPSD_ANT,181
3,-1,-1,-1,-1,3,-1,1,7,1,-1,2,RECAPSD,197
3,-1,-1,-1,-1,3,-1,1,7,1,-1,2,RECAPSI_ANT,98
3,-1,-1,-1,-1,3,-1,1,7,1,-1,2,RECAPSI,94
3,-1,-1,-1,-1,3,-1,1,7,1,-1,2,RECQUE_ANT,5
3,-1,-1,-1,-1,3,-1,1,7,1,-1,2,RECQUE,6
3,-1,-1,-1,-1,3,-1,1,7,1,-1,2,NULIDAD_ANT,6
3,-1,-1,-1,-1,3,-1,1,7,1,-1,2,NULIDAD,7
3,-1,-1,-1,-1,3,-1,1,7,1,-1,2,ACYAMP,12
3,-1,-1,-1,-1,3,-1,1,7,1,-1,2,CASACION,27
3,-1,-1,-1,-1,3,-1,1,7,1,-1,2,EXPTR_TAP_ANT,119
3,-1,-1,-1,-1,3,-1,1,7,1,-1,2,EXPTR_TAP,133
3,-1,-1,-1,-1,3,-1,1,7,1,-1,2,AUDR_ANT,9
3,-1,-1,-1,-1,3,-1,1,7,1,-1,2,AUDR,12
3,-1,-1,-1,-1,3,-1,1,7,1,-1,2,OFILIB,67
3,-1,-1,-1,-1,3,-1,1,7,1,-1,2,CEDULON,31
3,-1,-1,-1,-1,3,-1,1,7,1,-1,2,NOTELEC,1041
4,-1,-1,-1,-1,3,-1,1,7,5,-1,2,RECAPSD_ANT,174
4,-1,-1,-1,-1,3,-1,1,7,5,-1,2,RECAPSD,177
4,-1,-1,-1,-1,3,-1,1,7,5,-1,2,RECAPSI_ANT,68
4,-1,-1,-1,-1,3,-1,1,7,5,-1,2,RECAPSI,79
4,-1,-1,-1,-1,3,-1,1,7,5,-1,2,RECQUE_ANT,4
4,-1,-1,-1,-1,3,-1,1,7,5,-1,2,RECQUE,10
4,-1,-1,-1,-1,3,-1,1,7,5,-1,2,NULIDAD_ANT,9
4,-1,-1,-1,-1,3,-1,1,7,5,-1,2,NULIDAD,7
4,-1,-1,-1,-1,3,-1,1,7,5,-1,2,ACYAMP,16
4,-1,-1,-1,-1,3,-1,1,7,5,-1,2,CASACION,21
4,-1,-1,-1,-1,3,-1,1,7,5,-1,2,EXPTR_TAP_ANT,160
4,-1,-1,-1,-1,3,-1,1,7,5,-1,2,EXPTR_TAP,276
4,-1,-1,-1,-1,3,-1,1,7,5,-1,2,AUDR_ANT,9
4,-1,-1,-1,-1,3,-1,1,7,5,-1,2,AUDR,18
4,-1,-1,-1,-1,3,-1,1,7,5,-1,2,OFILIB,66
4,-1,-1,-1,-1,3,-1,1,7,5,-1,2,CEDULON,14
4,-1,-1,-1,-1,3,-1,1,7,5,-1,2,NOTELEC,1007
5,-1,-1,-1,-1,3,-1,2,7,2,-1,2,RECAPSD_ANT,167
5,-1,-1,-1,-1,3,-1,2,7,2,-1,2,RECAPSD,179
5,-1,-1,-1,-1,3,-1,2,7,2,-1,2,RECAPSI_ANT,82
5,-1,-1,-1,-1,3,-1,2,7,2,-1,2,RECAPSI,93
5,-1,-1,-1,-1,3,-1,2,7,2,-1,2,RECQUE_ANT,8
5,-1,-1,-1,-1,3,-1,2,7,2,-1,2,RECQUE,12
5,-1,-1,-1,-1,3,-1,2,7,2,-1,2,NULIDAD_ANT,6
5,-1,-1,-1,-1,3,-1,2,7,2,-1,2,NULIDAD,12
5,-1,-1,-1,-1,3,-1,2,7,2,-1,2,ACYAMP,18
5,-1,-1,-1,-1,3,-1,2,7,2,-1,2,CASACION,23
5,-1,-1,-1,-1,3,-1,2,7,2,-1,2,EXPTR_TAP_ANT,120
5,-1,-1,-1,-1,3,-1,2,7,2,-1,2,EXPTR_TAP,127
5,-1,-1,-1,-1,3,-1,2,7,2,-1,2,AUDR_ANT,19
5,-1,-1,-1,-1,3,-1,2,7,2,-1,2,AUDR,12
5,-1,-1,-1,-1,3,-1,2,7,2,-1,2,OFILIB,90
5,-1,-1,-1,-1,3,-1,2,7,2,-1,2,CEDULON,39
5,-1,-1,-1,-1,3,-1,2,7,2,-1,2,NOTELEC,1133
6,-1,-1,-1,-1,3,-1,2,7,6,-1,2,RECAPSD_ANT,161
6,-1,-1,-1,-1,3,-1,2,7,6,-1,2,RECAPSD,186
6,-1,-1,-1,-1,3,-1,2,7,6,-1,2,RECAPSI_ANT,58
6,-1,-1,-1,-1,3,-1,2,7,6,-1,2,RECAPSI,68
6,-1,-1,-1,-1,3,-1,2,7,6,-1,2,RECQUE_ANT,7
6,-1,-1,-1,-1,3,-1,2,7,6,-1,2,RECQUE,4
6,-1,-1,-1,-1,3,-1,2,7,6,-1,2,NULIDAD_ANT,6
6,-1,-1,-1,-1,3,-1,2,7,6,-1,2,NULIDAD,7
6,-1,-1,-1,-1,3,-1,2,7,6,-1,2,ACYAMP,5
6,-1,-1,-1,-1,3,-1,2,7,6,-1,2,CASACION,15
6,-1,-1,-1,-1,3,-1,2,7,6,-1,2,EXPTR_TAP_ANT,179
6,-1,-1,-1,-1,3,-1,2,7,6,-1,2,EXPTR_TAP,133
6,-1,-1,-1,-1,3,-1,2,7,6,-1,2,AUDR_ANT,42
6,-1,-1,-1,-1,3,-1,2,7,6,-1,2,AUDR,14
6,-1,-1,-1,-1,3,-1,2,7,6,-1,2,OFILIB,30
6,-1,-1,-1,-1,3,-1,2,7,6,-1,2,CEDULON,22
6,-1,-1,-1,-1,3,-1,2,7,6,-1,2,NOTELEC,939
7,-1,-1,-1,-1,3,-1,3,7,3,-1,2,RECAPSD_ANT,181
7,-1,-1,-1,-1,3,-1,3,7,3,-1,2,RECAPSD,186
7,-1,-1,-1,-1,3,-1,3,7,3,-1,2,RECAPSI_ANT,55
7,-1,-1,-1,-1,3,-1,3,7,3,-1,2,RECAPSI,86
7,-1,-1,-1,-1,3,-1,3,7,3,-1,2,RECQUE_ANT,3
7,-1,-1,-1,-1,3,-1,3,7,3,-1,2,RECQUE,7
7,-1,-1,-1,-1,3,-1,3,7,3,-1,2,NULIDAD_ANT,8
7,-1,-1,-1,-1,3,-1,3,7,3,-1,2,NULIDAD,7
7,-1,-1,-1,-1,3,-1,3,7,3,-1,2,ACYAMP,10
7,-1,-1,-1,-1,3,-1,3,7,3,-1,2,CASACION,21
7,-1,-1,-1,-1,3,-1,3,7,3,-1,2,EXPTR_TAP_ANT,163
7,-1,-1,-1,-1,3,-1,3,7,3,-1,2,EXPTR_TAP,195
7,-1,-1,-1,-1,3,-1,3,7,3,-1,2,AUDR_ANT,5
7,-1,-1,-1,-1,3,-1,3,7,3,-1,2,AUDR,22
7,-1,-1,-1,-1,3,-1,3,7,3,-1,2,OFILIB,92
7,-1,-1,-1,-1,3,-1,3,7,3,-1,2,CEDULON,133
7,-1,-1,-1,-1,3,-1,3,7,3,-1,2,NOTELEC,1206
8,-1,-1,-1,-1,3,-1,3,7,7,-1,2,RECAPSD_ANT,179
8,-1,-1,-1,-1,3,-1,3,7,7,-1,2,RECAPSD,178
8,-1,-1,-1,-1,3,-1,3,7,7,-1,2,RECAPSI_ANT,102
8,-1,-1,-1,-1,3,-1,3,7,7,-1,2,RECAPSI,124
8,-1,-1,-1,-1,3,-1,3,7,7,-1,2,RECQUE_ANT,8
8,-1,-1,-1,-1,3,-1,3,7,7,-1,2,RECQUE,12
8,-1,-1,-1,-1,3,-1,3,7,7,-1,2,NULIDAD_ANT,5
8,-1,-1,-1,-1,3,-1,3,7,7,-1,2,NULIDAD,7
8,-1,-1,-1,-1,3,-1,3,7,7,-1,2,ACYAMP,12
8,-1,-1,-1,-1,3,-1,3,7,7,-1,2,CASACION,13
8,-1,-1,-1,-1,3,-1,3,7,7,-1,2,EXPTR_TAP_ANT,133
8,-1,-1,-1,-1,3,-1,3,7,7,-1,2,EXPTR_TAP,140
8,-1,-1,-1,-1,3,-1,3,7,7,-1,2,AUDR_ANT,13
8,-1,-1,-1,-1,3,-1,3,7,7,-1,2,AUDR,25
8,-1,-1,-1,-1,3,-1,3,7,7,-1,2,OFILIB,51
8,-1,-1,-1,-1,3,-1,3,7,7,-1,2,CEDULON,32
8,-1,-1,-1,-1,3,-1,3,7,7,-1,2,NOTELEC,975
9,-1,-1,-1,-1,3,-1,4,7,4,-1,2,RECAPSD_ANT,181
9,-1,-1,-1,-1,3,-1,4,7,4,-1,2,RECAPSD,177
9,-1,-1,-1,-1,3,-1,4,7,4,-1,2,RECAPSI_ANT,74
9,-1,-1,-1,-1,3,-1,4,7,4,-1,2,RECAPSI,73
9,-1,-1,-1,-1,3,-1,4,7,4,-1,2,RECQUE_ANT,7
9,-1,-1,-1,-1,3,-1,4,7,4,-1,2,RECQUE,11
9,-1,-1,-1,-1,3,-1,4,7,4,-1,2,NULIDAD_ANT,5
9,-1,-1,-1,-1,3,-1,4,7,4,-1,2,NULIDAD,7
9,-1,-1,-1,-1,3,-1,4,7,4,-1,2,ACYAMP,5
9,-1,-1,-1,-1,3,-1,4,7,4,-1,2,CASACION,12
9,-1,-1,-1,-1,3,-1,4,7,4,-1,2,EXPTR_TAP_ANT,179
9,-1,-1,-1,-1,3,-1,4,7,4,-1,2,EXPTR_TAP,159
9,-1,-1,-1,-1,3,-1,4,7,4,-1,2,AUDR_ANT,18
9,-1,-1,-1,-1,3,-1,4,7,4,-1,2,AUDR,32
9,-1,-1,-1,-1,3,-1,4,7,4,-1,2,OFILIB,136
9,-1,-1,-1,-1,3,-1,4,7,4,-1,2,CEDULON,87
