"origen","reservada","correlacion","cantidad"
facebook_comentarios,familia,familia,"71,980"
facebook_comentarios,salud,salud,"40,073"
facebook_comentarios,amigos,amigos,"33,549"
facebook_comentarios,fútbol,fútbol,"32,996"
facebook_comentarios,educación,educación,"29,095"
facebook_comentarios,futuro,futuro,"25,519"
facebook_comentarios,violencia,violencia,"25,290"
facebook_comentarios,derechos,derechos,"23,012"
facebook_comentarios,libertad,libertad,"17,512"
facebook_comentarios,joven,joven,"16,496"
facebook_comentarios,robo,robo,"13,802"
facebook_comentarios,menores,menores,"13,493"
facebook_comentarios,pibe,pibe,"13,215"
facebook_comentarios,deporte,deporte,"11,334"
facebook_comentarios,jóvenes,jóvenes,"11,055"
facebook_comentarios,música,música,"10,386"
facebook_comentarios,juventud,juventud,"8,643"
facebook_comentarios,trabajador,trabajador,"8,117"
facebook_comentarios,trabajador,trabajador,"8,117"
facebook_comentarios,drogas,drogas,"8,100"
facebook_comentarios,delito,delito,"7,677"
facebook_comentarios,sexo,sexo,"7,637"
facebook_comentarios,esperanza,esperanza,"7,523"
facebook_comentarios,alcohol,alcohol,"7,317"
facebook_comentarios,derechos,humanos,"7,154"
facebook_comentarios,familia,vida,"6,558"
facebook_comentarios,arte,arte,"6,135"
facebook_comentarios,aborto,aborto,"5,539"
facebook_comentarios,salud,educación,"3,645"
facebook_comentarios,educación,salud,"3,645"
facebook_comentarios,familia,padre,"3,341"
facebook_comentarios,tecnología,tecnología,"3,268"
facebook_comentarios,familia,personas,"3,253"
facebook_comentarios,familia,hermosa,"3,249"
facebook_comentarios,salud,vida,"3,108"
facebook_comentarios,educación,gobierno,"3,078"
facebook_comentarios,porro,porro,"3,032"
facebook_comentarios,familia,feliz,"3,009"
facebook_comentarios,fútbol,jugar,"2,900"
facebook_comentarios,amigos,familia,"2,897"
facebook_comentarios,familia,amigos,"2,897"
facebook_comentarios,salud,gobierno,"2,819"
facebook_comentarios,fútbol,jugadores,"2,767"
facebook_comentarios,familia,fuerza,"2,766"
facebook_comentarios,familia,persona,"2,741"
facebook_comentarios,familia,pobre,"2,648"
facebook_comentarios,fútbol,nacional,"2,627"
facebook_comentarios,familia,mal,"2,591"
facebook_comentarios,amigos,vida,"2,573"
facebook_comentarios,familia,madre,"2,547"
facebook_comentarios,educación,vida,"2,524"
facebook_comentarios,salud,seguridad,"2,474"
facebook_comentarios,familia,amen,"2,394"
facebook_comentarios,fútbol,peñarol,"2,365"
facebook_comentarios,educación,personas,"2,336"
facebook_comentarios,derechos,gobierno,"2,329"
facebook_comentarios,estudiante,estudiante,"2,327"
facebook_comentarios,familia,amor,"2,278"
facebook_comentarios,educación,sociedad,"2,238"
facebook_comentarios,botija,botija,"2,218"
facebook_comentarios,fútbol,selección,"2,121"
facebook_comentarios,familia,paz,"2,116"
facebook_comentarios,fútbol,mundial,"2,111"
facebook_comentarios,educación,peor,"2,110"
facebook_comentarios,fútbol,jugador,"2,105"
facebook_comentarios,derechos,derecho,"2,103"
facebook_comentarios,salud,pueblo,"2,077"
facebook_comentarios,educación,seguridad,"2,041"
facebook_comentarios,familia,señor,"2,038"
facebook_comentarios,derechos,personas,"2,022"
facebook_comentarios,derechos,vida,"1,988"
facebook_comentarios,fútbol,equipo,"1,980"
facebook_comentarios,adolescente,adolescente,"1,978"
facebook_comentarios,familia,gobierno,"1,956"
facebook_comentarios,plancha,plancha,"1,939"
facebook_comentarios,amigos,facebook,"1,926"
facebook_comentarios,salud,amen,"1,897"
facebook_comentarios,familia,salud,"1,874"
facebook_comentarios,salud,familia,"1,874"
facebook_comentarios,educación,mal,"1,872"
facebook_comentarios,familia,linda,"1,858"
facebook_comentarios,salud,educacion,"1,853"
facebook_comentarios,libertad,expresión,"1,825"
facebook_comentarios,salud,sistema,"1,804"
facebook_comentarios,salud,personas,"1,783"
facebook_comentarios,familia,abrazo,"1,781"
facebook_comentarios,familia,respeto,"1,764"
facebook_comentarios,amigos,personas,"1,746"
facebook_comentarios,familia,felicidades,"1,723"
facebook_comentarios,familia,mujer,"1,710"
facebook_comentarios,educación,pueblo,"1,672"
facebook_comentarios,amigos,gobierno,"1,643"
facebook_comentarios,salud,mal,"1,641"
facebook_comentarios,familia,suerte,"1,636"
facebook_comentarios,joven,vida,"1,629"
facebook_comentarios,violencia,mujeres,"1,625"
facebook_comentarios,educación,respeto,"1,619"
facebook_comentarios,futuro,gobierno,"1,617"
facebook_comentarios,revolución,revolución,"1,613"
facebook_comentarios,amigos,hola,"1,609"
facebook_comentarios,libertad,vida,"1,604"
facebook_comentarios,familia,justicia,"1,593"
facebook_comentarios,futuro,vida,"1,588"
facebook_comentarios,familia,pasa,"1,568"
facebook_comentarios,fútbol,mal,"1,567"
facebook_comentarios,familia,vivir,"1,561"
facebook_comentarios,derechos,pueblo,"1,549"
facebook_comentarios,violencia,vida,"1,542"
facebook_comentarios,salud,dinero,"1,539"
facebook_comentarios,violencia,mujer,"1,535"
facebook_comentarios,violencia,mal,"1,533"
facebook_comentarios,familia,sociedad,"1,526"
facebook_comentarios,creatividad,creatividad,"1,504"
facebook_comentarios,fútbol,historia,"1,476"
facebook_comentarios,amigos,persona,"1,434"
facebook_comentarios,violencia,nacional,"1,434"
facebook_comentarios,derechos,ley,"1,430"
facebook_comentarios,violencia,sociedad,"1,413"
facebook_comentarios,educación,perú,"1,409"
facebook_comentarios,violencia,gobierno,"1,408"
facebook_comentarios,amigos,mal,"1,399"
facebook_comentarios,educación,importa,"1,394"
facebook_comentarios,violencia,personas,"1,380"
facebook_comentarios,fútbol,cancha,"1,380"
facebook_comentarios,libertad,gobierno,"1,349"
facebook_comentarios,guacho,guacho,"1,346"
facebook_comentarios,fútbol,vida,"1,334"
facebook_comentarios,menores,baja,"1,309"
facebook_comentarios,deporte,fútbol,"1,309"
facebook_comentarios,fútbol,deporte,"1,309"
facebook_comentarios,fútbol,copa,"1,301"
facebook_comentarios,amigos,familiares,"1,300"
facebook_comentarios,salud,pido,"1,298"
facebook_comentarios,fútbol,club,"1,290"
facebook_comentarios,educación,ignorancia,"1,281"
facebook_comentarios,educación,valores,"1,271"
facebook_comentarios,educación,basura,"1,265"
facebook_comentarios,educación,sueldo,"1,254"
facebook_comentarios,educación,ustedes,"1,253"
facebook_comentarios,educación,calidad,"1,247"
facebook_comentarios,libertad,derecho,"1,245"
facebook_comentarios,violencia,peñarol,"1,229"
facebook_comentarios,salud,publica,"1,228"
facebook_comentarios,derechos,sociedad,"1,228"
facebook_comentarios,salud,paz,"1,222"
facebook_comentarios,educación,peruano,"1,213"
facebook_comentarios,salud,amor,"1,200"
facebook_comentarios,deporte,futbol,"1,198"
facebook_comentarios,amigos,amigo,"1,197"
facebook_comentarios,educación,peruanos,"1,197"
facebook_comentarios,educación,problemas,"1,191"
facebook_comentarios,educación,talento,"1,189"
facebook_comentarios,fútbol,juega,"1,189"
facebook_comentarios,educación,pública,"1,187"
facebook_comentarios,educación,ignorante,"1,176"
facebook_comentarios,deporte,nacional,"1,169"
facebook_comentarios,derechos,justicia,"1,167"
facebook_comentarios,libertad,democracia,"1,161"
facebook_comentarios,salud,plata,"1,157"
facebook_comentarios,menores,delincuentes,"1,155"
facebook_comentarios,educación,dinero,"1,149"
facebook_comentarios,libertad,pueblo,"1,144"
facebook_comentarios,educación,desarrollo,"1,143"
facebook_comentarios,salud,nacional,"1,142"
facebook_comentarios,derechos,mal,"1,128"
facebook_comentarios,amigos,gusta,"1,127"
facebook_comentarios,educación,corrupción,"1,120"
facebook_comentarios,jóvenes,vida,"1,116"
facebook_comentarios,derechos,respeto,"1,114"
facebook_comentarios,fútbol,ganar,"1,113"
facebook_comentarios,futuro,presente,"1,104"
facebook_comentarios,joven,familia,"1,103"
facebook_comentarios,violencia,tanta,"1,101"
facebook_comentarios,salud,ley,"1,089"
facebook_comentarios,fútbol,gusta,"1,088"
facebook_comentarios,sexualidad,sexualidad,"1,086"
facebook_comentarios,violencia,futbol,"1,083"
facebook_comentarios,salud,peor,"1,082"
facebook_comentarios,amigos,pueblo,"1,080"
facebook_comentarios,salud,problemas,"1,078"
facebook_comentarios,fútbol,partidos,"1,075"
facebook_comentarios,libertad,personas,"1,073"
facebook_comentarios,salud,feliz,"1,067"
facebook_comentarios,aborto,vida,"1,066"
facebook_comentarios,sexo,personas,"1,064"
facebook_comentarios,amigos,saludos,"1,063"
facebook_comentarios,futuro,nacional,"1,059"
facebook_comentarios,fútbol,fifa,"1,057"
facebook_comentarios,fútbol,cuadro,"1,056"
facebook_comentarios,violencia,paz,"1,052"
facebook_comentarios,trabajador,gobierno,"1,050"
facebook_comentarios,salud,pública,"1,050"
facebook_comentarios,trabajador,gobierno,"1,050"
facebook_comentarios,derechos,delincuentes,"1,045"
facebook_comentarios,aborto,ley,"1,038"
facebook_comentarios,fútbol,brasil,"1,030"
facebook_comentarios,derechos,trabajadores,"1,020"
facebook_comentarios,derechos,mujeres,"1,018"
facebook_comentarios,libertad,prensa,"1,016"
facebook_comentarios,alcohol,marihuana,"1,008"
facebook_comentarios,violencia,respeto,"1,002"
facebook_comentarios,futuro,pueblo,999
facebook_comentarios,futuro,mal,995
facebook_comentarios,violencia,forma,991
facebook_comentarios,drogas,alcohol,985
facebook_comentarios,alcohol,drogas,985
facebook_comentarios,menores,ley,983
facebook_comentarios,sexo,persona,978
facebook_comentarios,futuro,personas,971
facebook_comentarios,amigos,ustedes,969
facebook_comentarios,trabajador,pueblo,961
facebook_comentarios,trabajador,pueblo,961
facebook_comentarios,menores,gobierno,960
facebook_comentarios,salud,derecho,940
facebook_comentarios,amigos,feliz,940
facebook_comentarios,amigos,nacional,939
facebook_comentarios,violencia,pueblo,937
facebook_comentarios,libertad,derechos,935
facebook_comentarios,derechos,libertad,935
facebook_comentarios,violencia,fútbol,926
facebook_comentarios,libertad,justicia,924
facebook_comentarios,pibe,peñarol,924
facebook_comentarios,robo,gobierno,920
facebook_comentarios,deporte,mundial,919
facebook_comentarios,rapiña,rapiña,910
facebook_comentarios,salud,frente,908
facebook_comentarios,salud,persona,895
facebook_comentarios,salud,problema,892
facebook_comentarios,libertad,libre,891
facebook_comentarios,derechos,persona,889
facebook_comentarios,amigos,frente,888
facebook_comentarios,música,vida,886
facebook_comentarios,amigos,fotos,882
facebook_comentarios,derechos,leyes,881
facebook_comentarios,derechos,familia,877
facebook_comentarios,derechos,mujer,875
facebook_comentarios,violencia,justicia,873
facebook_comentarios,jóvenes,personas,871
facebook_comentarios,amigos,https,869
facebook_comentarios,futuro,frente,869
facebook_comentarios,jóvenes,educación,866
facebook_comentarios,libertad,ley,862
facebook_comentarios,libertad,respeto,861
facebook_comentarios,gurí,gurí,849
facebook_comentarios,derechos,ciudadanos,849
facebook_comentarios,diversión,diversión,847
facebook_comentarios,amigos,m,845
facebook_comentarios,alcohol,droga,845
facebook_comentarios,amigos,niña,841
facebook_comentarios,violencia,pasa,838
facebook_comentarios,derechos,defender,838
facebook_comentarios,amigos,padre,837
facebook_comentarios,robo,plata,836
facebook_comentarios,jóvenes,gobierno,835
facebook_comentarios,música,gusta,835
facebook_comentarios,libertad,mal,827
facebook_comentarios,sexo,mujer,826
facebook_comentarios,futuro,pensar,822
facebook_comentarios,violencia,peor,822
